character_id,eidolon,eidolon_name,description
fu_xuan,2,Optimus Felix,"If any ally target is struck by a killing blow while ""Matrix of Prescience"" is active, then all ally targets who were struck by a killing blow during this action will not be knocked down, and 70% of their Max HP is immediately restored. This effect can trigger 1 time per battle."
fu_xuan,3,Apex Nexus,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
fu_xuan,4,Fortuna Stellaris,"When other allies under Matrix of Prescience are attacked, Fu Xuan regenerates 5 Energy."
fu_xuan,5,Arbiter Primus,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
fu_xuan,6,Omnia Vita,"Once Matrix of Prescience is activated, it will keep a tally of the total HP lost by all team members in the current battle. The DMG dealt by Fu Xuan's Ultimate will increase by 200% of this tally of HP loss. This tally is also capped at 120% of Fu Xuan's Max HP and the tally value will reset and re-accumulate after Fu Xuan's Ultimate is used."
fugue,1,"Earthbound I Was, Cloudward I Be","Ally target with ""Foxian Prayer"" increases their Weakness Break Efficiency by 50%."
fugue,2,Beatitude Dawns for the Worthy,"When an enemy target's Weakness gets broken, Fugue regenerates 3 Energy. After using Ultimate, advances the action of all allies by 24%."
fugue,3,Verity Weaves Thoughts to Blade,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
fugue,4,"Bereft of Form, Which Name to Bear","Ally target with ""Foxian Prayer"" increases their Break DMG dealt by 20%."
fugue,5,Colored Cloud Rains Fortune,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
fugue,6,Clairvoyance of Boom and Doom,"Increases Fugue's Weakness Break Efficiency by 50%. While Fugue is in the ""Torrid Scorch"" state, ""Foxian Prayer"" takes effect on all allies."
gallagher,1,Salty Dog,"When entering the battle, Gallagher regenerates 20 Energy and increases Effect RES by 50%."
gallagher,2,Lion's Tail,"When using the Skill, dispels 1 debuff(s) from the designated ally. At the same time, increases their Effect RES by 30% for 2 turn(s)."
gallagher,3,Corpse Reviver,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
gallagher,4,Last Word,Extends the duration of the Besotted state inflicted by Gallagher's Ultimate by 1 turn(s).
gallagher,5,Death in the Afternoon,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
gallagher,6,Blood and Sand,Increases Gallagher's Break Effect by 20% and Weakness Break Efficiency by 20%.
gepard,1,Due Diligence,"When using Skill, increases the base chance to Freeze the attacked target enemy by 35%."
gepard,2,Lingering Cold,"After an enemy Frozen by Skill is unfrozen, their SPD is reduced by 20% for 1 turn(s)."
gepard,3,Never Surrender,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
gepard,4,Faith Moves Mountains,"When Gepard is in battle, all allies' Effect RES increases by 20%."
gepard,5,Cold Iron Fist,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
gepard,6,Unyielding Resolve,"When his Talent is triggered, Gepard immediately takes action and restores extra HP equal to 50% of his Max HP."
guinaifen,1,Slurping Noodles During Handstand,"When Skill is used, there is a 100% base chance to reduce the attacked target enemy's Effect RES by 10% for 2 turn(s)."
guinaifen,2,Brushing Teeth While Whistling,"When an enemy target is being Burned, the DMG multiplier of the Burn status applied by her Basic ATK or Skill increases by 40%."
guinaifen,3,Smashing Boulder on Chest,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
guinaifen,4,Blocking Pike with Neck,"Every time the Burn status inflicted by Guinaifen causes DMG, Guinaifen regenerates 2 Energy."
guinaifen,5,Swallowing Sword to Stomach,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
guinaifen,6,Catching Bullet with Hands,Increases the stackable Firekiss count by 1.
hanya,1,One Heart,"When an ally target with Hanya's Ultimate effect defeats an enemy, Hanya's action advances by 15%. This effect can only be triggered 1 time(s) per turn."
hanya,2,Two Views,"After using the Skill, this character's SPD increases by 20% for 1 turn(s)."
hanya,3,Three Temptations,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
hanya,4,Four Truths,The Ultimate's duration is additionally extended for 1 turn(s).
hanya,5,Five Skandhas,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
hanya,6,Six Reverences,Increase the DMG Boost effect of the Talent by an additional 10%.
herta,1,Kick You When You're Down,"When using Basic ATK, if the designated enemy's HP percentage is at 50% or less, additionally deals Ice Additional DMG equal to 40% of Herta's ATK."
herta,2,Keep the Ball Rolling,"Every time Talent is triggered, this character's CRIT Rate increases by 3%. This effect can stack up to 5 time(s)."
herta,3,That's the Kind of Girl I Am,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
herta,4,Hit Where It Hurts,"When Talent is triggered, DMG increases by 10%."
herta,5,Cuss Big or Cuss Nothing,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
herta,6,No One Can Betray Me,"After using Ultimate, this character's ATK increases by 25% for 1 turn(s)."
himeko,1,Childhood,"After ""Victory Rush"" is triggered, Himeko's SPD increases by 20% for 2 turn(s)."
himeko,2,Convergence,Deals 15% more DMG to enemies whose HP percentage is 50% or less.
himeko,3,Poised,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
himeko,4,Dedication,"When Himeko's Skill inflicts Weakness Break on an enemy, she gains 1 extra point(s) of Charge."
himeko,5,Aspiration,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
himeko,6,Trailblaze!,Ultimate deals 2 extra instances of Fire DMG equal to 40% of the original DMG to one random enemy.
hook,1,"Early to Bed, Early to Rise",Enhanced Skill deals 20% increased DMG.
hook,2,"Happy Tummy, Happy Body",Extends the duration of Burn caused by Skill by 1 turn(s).
hook,3,"Don't Be Picky, Nothing's Icky","Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
hook,4,It's Okay to Not Know,"When Talent is triggered, there is a 100% base chance to Burn enemies adjacent to the designated enemy target, equivalent to that of Skill."
hook,5,Let the Moles' Deeds Be Known,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
hook,6,Always Ready to Punch and Kick,Hook deals 20% more DMG to enemies afflicted with Burn.
huohuo,1,"Anchored to Vessel, Specters Nestled","The duration of Divine Provision produced by the Talent is extended by 1 turn(s). When Huohuo possesses Divine Provision, all allies' SPD increases by 12%."
huohuo,2,"Sealed in Tail, Wraith Subdued","If Huohuo possesses ""Divine Provision"" when an ally target is struck by a killing blow, the ally will not be knocked down and their HP will immediately be restored by an amount equal to 50% of their Max HP. This reduces the duration of ""Divine Provision"" by 1 turn. This effect can only be triggered 2 time(s) per battle."
huohuo,3,"Cursed by Fate, Moths to Flame","Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
huohuo,4,"Tied in Life, Bound to Strife","When healing a target ally via Skill or Talent, the less HP the target ally currently has, the higher the amount of healing they will receive. The maximum increase in healing provided by Huohuo is 80%."
huohuo,5,"Mandated by Edict, Evils Evicted","Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
huohuo,6,"Woven Together, Cohere Forever","When healing a target ally, increases the target ally's DMG dealt by 50% for 2 turn(s)."
hyacine,1,Cradle the Candle of Night,"While Hyacine is in the ""After Rain"" state, all ally targets additionally increase their Max HP by 50%, and after using an attack, immediately restore their HP by an amount equal to 8% of Hyacine's Max HP."
hyacine,2,Come Sit in My Courtyard,"When an ally target's HP decreases, SPD increases by 30%, lasting for 2 turn(s)."
hyacine,3,"Depart, Unto the Sun!","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10. Memosprite Skill Lv. +1, up to a maximum of Lv. 10."
hyacine,4,"Sunlit Amber, Yours to Keep","The ""Tempestuous Halt"" Trace gets enhanced: For every 1 excess SPD, additionally increases Hyacine's and Little Ica's CRIT DMG by 2%."
hyacine,5,Twilight Drapes the Tide,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15. Memosprite Talent Lv. +1, up to a maximum of Lv. 10."
hyacine,6,"O Sky, Heed My Plea","When Little Ica uses Memosprite Skill, the amount cleared from the tally of healing is changed to 12%. While Little Ica is on the field, all ally targets' All-Type RES PEN increases by 20%."
hysilens,1,You Ask Why Hearts Cry,"While Hysilens is on the field, the DoT dealt by ally targets is equal to 116% of their original value. When Hysilens inflicts Wind Shear/Bleed/Burn/Shock on enemies via her Talent, there is a 100% base chance to additionally inflict the target with 1 instance of Wind Shear/Bleed/Burn/Shock state that is equivalent to those from the original Talent effect and can coexist with such pre-existing states."
hysilens,2,Tell Me Why Waves Roar High,"While the Zone is active, the DMG Boost effect from Trace ""The Fiddle of Pearls"" applies to all allies."
hysilens,3,Why Do Lights Bid Goodbye,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
hysilens,4,"Lo, How Time Flows By","While the Zone is active, reduces All-Type RES of all enemies by 20%."
hysilens,5,"In Ablution, I Hum and Sigh","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
hysilens,6,When to Return From Where You Lie,"While the Zone is active, at the start of each turn or after one attack by an ally target, increases the maximum trigger count for Hysilens's Physical DoT effect to 12, and increases the multiplier of the DMG dealt by 20%."
jade,1,Altruism? Nevertheless Tradable,"The Follow-Up ATK DMG from Jade's Talent increases by 32%. After the ""Debt Collector"" character attacks and the number of the enemy target(s) hit is either 2 or 1, Jade additionally gains 1 or 2 point(s) of Charge respectively."
jade,2,Morality? Herein Authenticated,"When there are 15 stacks of Pawned Asset, Jade's CRIT Rate increases by 18%."
jade,3,Honesty? Soon Mortgaged,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
jade,4,Sincerity? Put Option Only,"When using Ultimate, enables the DMG dealt by Jade to ignore 12% of enemy targets' DEF, lasting for 3 turn(s)."
jade,5,Hope? Hitherto Forfeited,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
jade,6,Equity? Pending Sponsorship,"While the ""Debt Collector"" character exists on the field, Jade's Quantum RES PEN increases by 20%, and Jade gains the ""Debt Collector"" state."
jiaoqiu,1,Pentapathic Transference,"Allies deal 40% increased DMG to enemy targets afflicted with Ashen Roast. Whenever inflicting Ashen Roast on an enemy target via triggering the Talent's effect, additionally increases the number of ""Ashen Roast"" stacks applied this time by 1."
jiaoqiu,2,From Savor Comes Suffer,"When an enemy target is afflicted with Ashen Roast, increases the multiplier for the Fire DoT dealt by Ashen Roast to this target by 300%."
jiaoqiu,3,Flavored Euphony Reigns Supreme,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
jiaoqiu,4,"Leisure In, Luster Out","When the Zone exists, reduces enemy target's ATK by 15%."
jiaoqiu,5,"Duel in Dawn, Dash in Dusk","Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
jiaoqiu,6,Nonamorphic Pyrobind,"When an enemy target gets defeated, their accumulated ""Ashen Roast"" stacks will transfer to the enemy with the lowest number of ""Ashen Roast"" stacks on the battlefield. The maximum stack limit of Ashen Roast increases to 9, and each ""Ashen Roast"" stack reduces the target's All-Type RES by 3%."
jing_yuan,1,"Slash, Seas Split","When Lightning-Lord attacks, the DMG multiplier on enemies adjacent to the target enemy increases by an extra amount equal to 25% of the DMG multiplier against the primary target enemy."
jing_yuan,2,"Swing, Skies Squashed","After Lightning-Lord takes action, DMG dealt by Jing Yuan's Basic ATK, Skill, and Ultimate increases by 20%, lasting for 2 turn(s)."
jing_yuan,3,"Strike, Suns Subdued","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
jing_yuan,4,"Spin, Stars Sieged","For each hit performed by the Lightning-Lord when it takes action, Jing Yuan regenerates 2 Energy."
jing_yuan,5,"Stride, Spoils Seized","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
jing_yuan,6,"Sweep, Souls Slain","Each hit performed by the Lightning-Lord when it takes action will make the target enemy Vulnerable. While Vulnerable, enemies receive 12% more DMG until the end of the Lightning-Lord's current turn, stacking up to 3 time(s)."
jingliu,1,Moon Crashes Tianguan Gate,"When using her Ultimate or Enhanced Skill, Jingliu's CRIT DMG increases by 24% for 1 turn(s). If only one enemy target is attacked, the target will additionally be dealt Ice DMG equal to 100% of Jingliu's ATK."
jingliu,2,Crescent Shadows Qixing Dipper,"After using Ultimate, increases the DMG of the next Enhanced Skill by 80%."
jingliu,3,Halfmoon Gapes Mercurial Haze,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
jingliu,4,Lunarlance Shines Skyward Dome,"During the Spectral Transmigration state, the ATK gained from consuming teammates' HP is additionally increased by 90% of the total HP consumed from the entire team. The cap for ATK gained this way also increases by 30%."
jingliu,5,Night Shades Astral Radiance,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
jingliu,6,Eclipse Hollows Corporeal Husk,"When Jingliu enters the Spectral Transmigration state, the Syzygy stack limit increases by 1, and Jingliu obtains 1 stack(s) of Syzygy. While she is in the Spectral Transmigration state, her CRIT DMG increases by 50%."
kafka,1,Da Capo,"When the Talent triggers a Follow-Up ATK, there is a 100% base chance to increase the DoT received by the target by 30% for 2 turn(s)."
kafka,2,Fortississimo,"While Kafka is on the field, DoT dealt by all allies increases by 25%."
kafka,3,Capriccio,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
kafka,4,Recitativo,"When an enemy target takes DMG from the Shock status inflicted by Kafka, Kafka additionally regenerates 2 Energy."
kafka,5,Doloroso,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
kafka,6,Leggiero,"The Shock state inflicted on the enemy target by the Ultimate, Technique, or the Talent-triggered Follow-Up ATK has a DMG multiplier increase of 156% and lasts 1 turn(s) longer."
lingsha,1,Bloom on Vileward Bouquet,"Lingsha's Weakness Break Efficiency increases by 50%. When an enemy unit's Weakness is Broken, reduces their DEF by 20%."
lingsha,2,Leisure in Carmine Smokeveil,"When using Ultimate, increases all allies' Break Effect by 40%, lasting for 3 turn(s)."
lingsha,3,Shine of Floral Wick,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
lingsha,4,Redolence from Canopied Banquet,"When Fuyuan takes action, restores HP equal to 40% of Lingsha's ATK for the ally target whose current HP is the lowest."
lingsha,5,Poise Atop Twists and Turns,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
lingsha,6,Arcadia Under Deep Seclusion,"While ""Fuyuan"" is on the field, reduces all enemies' All-Type RES by 20%. When ""Fuyuan"" attacks, additionally deals 4 instance(s) of DMG, with each instance dealing Fire DMG equal to 50% of Lingsha's ATK and 5 Toughness Reduction to one random enemy. This prioritizes targets with both Toughness greater than 0 and Fire Weakness."
luka,1,Fighting Endlessly,"When Luka takes action, if the target enemy is Bleeding, increases DMG dealt by Luka by 15% for 2 turn(s)."
luka,2,"The Enemy is Weak, I am Strong","If the Skill hits an enemy target with Physical Weakness, gain 1 stack(s) of Fighting Will."
luka,3,Born for the Ring,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
luka,4,Never Turning Back,"For every stack of Fighting Will obtained, increases ATK by 5%, stacking up to 4 time(s)."
luka,5,The Spirit of Wildfire,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
luka,6,A Champion's Applause,"After the Enhanced Basic ATK's ""Rising Uppercut"" hits a Bleeding enemy target, the Bleed status will immediately deal DMG 1 time equal to 8% of the original DMG for every hit of Direct Punch already unleashed during the current Enhanced Basic ATK."
luocha,1,Ablution of the Quick,"While the Zone is active, ATK of all allies increases by 20%."
luocha,2,Bestowal From the Pure,"When his Skill is triggered, if the target ally's HP percentage is lower than 50%, Luocha's Outgoing Healing increases by 30%. If the target ally's HP percentage is at 50% or higher, the ally receives a Shield that can absorb DMG equal to 18% of Luocha's ATK plus 240, lasting for 2 turns."
luocha,3,Surveyal by the Fool,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
luocha,4,Heavy Lies the Crown,"When Luocha's Zone is active, enemies become Weakened and deal 12% less DMG."
luocha,5,Cicatrix 'Neath the Pain,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
luocha,6,Reunion With the Dust,"When Ultimate is used, there is a 100% fixed chance to reduce all enemies' All-Type RES by 20% for 2 turn(s)."
lynx,1,Morning of Snow Hike,"When healing allies with HP percentage equal to or lower than 50%, Lynx's Outgoing Healing increases by 20%. This effect also works on continuous healing."
lynx,2,Noon of Portable Furnace,"A target with ""Survival Response"" can resist debuff application for 1 time(s)."
lynx,3,Afternoon of Avalanche Beacon,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
lynx,4,Dusk of Warm Campfire,"When ""Survival Response"" is gained, increases the target's ATK by an amount equal to 3% of Lynx's Max HP for 1 turn(s)."
lynx,5,Night of Aurora Tea,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
lynx,6,Dawn of Explorers' Chart,"Additionally boosts the Max HP increasing effect of ""Survival Response"" by an amount equal to 6% of Lynx's Max HP and increases Effect RES by 30%."
march_7th_hunt,1,My Sword Stirs Starlight,"When Shifu is on the field, increases March 7th's SPD by 10%."
march_7th_hunt,2,Blade Dances on Waves' Fight,"After ""Shifu"" uses Basic ATK or Skill to attack an enemy target, March 7th immediately launches a Follow-Up ATK and deals Imaginary DMG equal to 60% of March 7th's ATK to the primary target of this attack. Additionally, triggers the corresponding effect based on ""Shifu""'s Path and then gains 1 point(s) of Charge. If there is no primary target available to attack, then she attacks a single random enemy instead. This effect can only trigger once per turn."
march_7th_hunt,3,Sharp Wit in Martial Might,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
march_7th_hunt,4,Being Fabulous Never Frights,"At the start of the turn, regenerates 5 Energy."
march_7th_hunt,5,"Sword Delights, Sugar Blights","Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
march_7th_hunt,6,"Me, the Best Girl in Sight","After using Ultimate, increases the CRIT DMG dealt by the next Enhanced Basic ATK by 50%."
march_7th_preservation,1,Memory of You,"Every time March 7th's Ultimate Freezes a target, she regenerates 6 Energy."
march_7th_preservation,2,Memory of It,"Upon entering battle, grants a Shield equal to 24% of March 7th's DEF plus 320 to the ally with the lowest HP percentage, lasting for 3 turn(s)."
march_7th_preservation,3,Memory of Everything,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
march_7th_preservation,4,Never Forfeit Again,The Talent's Counter effect can be triggered 1 more time in each turn. The DMG dealt by Counter increases by an amount that is equal to 30% of March 7th's DEF.
march_7th_preservation,5,Never Forget Again,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
march_7th_preservation,6,"Just Like This, Always...",Allies under the protection of the Shield granted by the Skill restore HP equal to 4% of their Max HP plus 106 at the beginning of each turn.
misha,1,Whimsicality of Fancy,"When using the Ultimate, for every enemy on the field, additionally increases the Hits Per Action for the current Ultimate by 1 hit(s), up to a maximum increase of 5 hit(s)."
misha,2,Yearning of Youth,"Before each hit of the Ultimate lands, there is a 24% base chance of reducing the target's DEF by 16% for 3 turn(s)."
misha,3,Vestige of Happiness,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
misha,4,Visage of Kinship,Increases the DMG multiplier for each hit of the Ultimate by 6%.
misha,5,Genesis of First Love,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
misha,6,Estrangement of Dream,"When using the Ultimate, increases own DMG by 30%, lasting until the end of the turn. In addition, the next time the Skill is used, recovers 1 Skill Point(s) for the team."
moze,1,Oathkeeper,"After entering battle, Moze regenerates 20 Energy. Each time the Additional DMG from his Talent is triggered, Moze regenerates 2 Energy."
moze,2,Wrathbearer,"When all allies deal DMG to the enemy target marked as ""Prey,"" increases CRIT DMG by 40%."
moze,3,Deathchaser,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
moze,4,Heathprowler,"When using Ultimate, increases the DMG dealt by Moze by 30%, lasting for 2 turn(s)."
moze,5,Truthbender,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
moze,6,Faithbinder,Increases the DMG multiplier of the Talent's Follow-Up ATK by 25%.
mydei,1,Frost Hones Spine of Steel,"Increases the DMG multiplier dealt by ""Godslayer Be God"" to the primary target by 30%. This ability now deals to all enemies Imaginary DMG equal to the DMG multiplier dealt to the primary target."
mydei,2,Strife Beholds Cry of Dead,"During ""Vendetta,"" the DMG dealt by Mydei ignores 15% of enemy targets' DEF. After he receives healing, converts 40% of the healed amount to Charge. The tally of the converted Charge cannot exceed 40 point(s). Resets this tally of Charge after any unit takes action."
mydei,3,Honor Exalts Feast of Faith,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
mydei,4,Siren Jolts the Laconic Lion,"While in ""Vendetta,"" increases CRIT DMG by 30% and restores HP by 10% of this unit's Max HP after receiving attacks from enemy targets."
mydei,5,War Chisels Flesh of Flame,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
mydei,6,Legacy Scales Mound of Blood,"When entering battle, immediately enters the ""Vendetta"" state, and lowers the Charge required for ""Godslayer Be God"" to 100 point(s)."
natasha,1,Pharmacology Expertise,"After being attacked, if the current HP percentage is 30% or lower, heals self for 1 time to restore HP by an amount equal to 15% of Max HP plus 400. This effect can only be triggered 1 time per battle."
natasha,2,Clinical Research,"When Natasha uses her Ultimate, grant continuous healing for 1 turn(s) to allies whose HP percentage is at 30% or lower. And at the beginning of their turn, their HP is restored by an amount equal to 6% of Natasha's Max HP plus 160."
natasha,3,The Right Cure,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
natasha,4,Miracle Cure,"After being attacked, regenerates 5 extra Energy."
natasha,5,Preventive Treatment,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
natasha,6,Doctor's Grace,Natasha's Basic ATK additionally deals Physical DMG equal to 40% of her Max HP.
pela,1,Victory Report,"When an enemy is defeated, Pela regenerates 5 Energy."
pela,2,Adamant Charge,Using Skill to dispel buff(s) increases SPD by 10% for 2 turn(s).
pela,3,Suppressive Force,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
pela,4,Full Analysis,"When using Skill, there is a 100% base chance to reduce the target enemy's Ice RES by 12% for 2 turn(s)."
pela,5,Absolute Jeopardy,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
pela,6,Feeble Pursuit,"After Pela attacks, if the enemy target is debuffed, deals Ice Additional DMG equal to 40% of Pela's ATK to the enemy."
phainon,1,Fire and Light Bind Virtue and Vice,"The base SPD inheritance ratio for Khaslana's extra turn increases to 66%. For every enemy target defeated in one battle, additionally increases this ratio by 1.5%, up to a max of 84%. When using Ultimate, increases CRIT DMG by 50%, lasting for 3 turn(s)."
phainon,2,Sky and Earth Churn Mortal Froth,"Khaslana's Physical RES PEN increases by 20%. When one use of ""Foundation: Stardeath Verdict"" consumes 4 ""Scourge"" point(s), gains 1 extra turn."
phainon,3,"Depths of Quiet, Entombed in Ruin","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
phainon,4,"Faces of Titans, Blurred by Time","When using ""Calamity: Soulscorch Edict,"" additionally gains 4 stack(s) of ""Soulscorch."""
phainon,5,The Wheel Spins Forevermore,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
phainon,6,Embers of Old Rise Still,"The number of overflow points allowed for ""Coreflame"" no longer has an upper limit. When the battle starts, gains 6 point(s) of ""Coreflame."" After using the attack from ""Foundation: Stardeath Verdict,"" additionally deals True DMG equal to 36% of the total DMG dealt in this attack to the enemy target with the highest HP."
qingque,1,Rise Through the Tiles,Ultimate deals 10% more DMG.
qingque,2,Sleep on the Tiles,"Every time Draw Tile is triggered, Qingque immediately regenerates 1 Energy."
qingque,3,Read Between the Tiles,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
qingque,4,Right on the Tiles,"After using Skill, there is a 24% fixed chance to gain ""Self-Sufficer,"" lasting until the end of the current turn.  While ""Self-Sufficer"" is active, using Basic ATK or Enhanced Basic ATK immediately launches 1 Follow-Up ATK on the same target, dealing Quantum DMG equal to 100% of Basic ATK DMG or Enhanced Basic ATK DMG."
qingque,5,Gambit for the Tiles,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
qingque,6,Prevail Beyond the Tiles,Recovers 1 Skill Point after using Enhanced Basic ATK.
rappa,1,Returned Is the Revenant With No Ferry Toll,"During the ""Sealform"" state entered by using Ultimate, DMG dealt by Rappa ignores 15% of the targets' DEF. After exiting the ""Sealform"" state, regenerates 20 Energy."
rappa,2,Free Is the Mind Enlightened by Haikus,The Enhanced Basic ATK's first 2 hits have their Toughness Reduction against the one designated enemy increased by 50%.
rappa,3,Many Are the Shrines That Repel No Hell,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
rappa,4,Lost Is the Nindō Devoured by Time,"While in the ""Sealform"" state, increases all allies' SPD by 12%."
rappa,5,Steady Is The Ranger With Unerring Arrows,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
rappa,6,Righteous Is the Wrath That Spares No Evil,"When battle starts, Rappa gains 5 point(s) of her Talent's Charge, and its upper limit increases by 5 point(s). After launching the third hit of ""Ningu: Demonbane Petalblade,"" gains 5 point(s) of Charge."
robin,1,Land of Smiles,"While the ""Concerto"" state is active, all allies' All-Type RES PEN increases by 24%."
robin,2,Afternoon Tea For Two,"While the Concerto state is active, all allies' SPD increases by 16%. The Talent's Energy Regeneration effect additionally increases by 1."
robin,3,Inverted Tuning,"Skill Lv. +2, up to a maximum of Lv. 15. Ultimate Lv. +2, up to a maximum of Lv. 15."
robin,4,Raindrop Key,"When using the Ultimate, dispels Crowd Control debuffs from all allies. While Robin is in the ""Concerto"" state, increases the Effect RES of all allies by 50%."
